panel_observation_id,year,period,period_order,year_period_key,category,normalized_indicator,panel_entity,unit_mode,value_mean,value_median,value_sum,value_min,value_max,value_std,value_count,n_source_files,n_source_sheets,n_value_columns,n_raw_labels,value_winsorized,value_lag_1,value_lag_2,value_lag_4,value_change_lag_1,value_change_lag_2,value_change_lag_4,value_pct_change_lag_1,value_pct_change_lag_2,value_pct_change_lag_4,value_rolling_mean_2,value_rolling_std_2,value_rolling_mean_4,value_rolling_std_4,value_robust_z_by_entity,value_abs_robust_z_by_entity,value_minmax_by_entity,value_robust_z_by_period,is_core_indicator,is_revenue_related,is_expenditure_related,is_debt_related,is_surplus_deficit_related
2023__end_year_annual__debt_domestic_debt_financing_from_domestic_borrowing,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_financing_from_domestic_borrowing,unspecified,20946.49116594061,20946.49116594061,20946.49116594061,20946.49116594061,20946.49116594061,,1,1,1,1,1,20946.49116594061,20946.49116594061,0.0,0.0,0.0,20946.49116594061,20946.49116594061,0.0,,,20946.49116594061,0.0,10473.245582970305,12093.46231323393,1.7638342073763937,1.7638342073763937,1.0,-0.47304427526434834,1,0,0,1,0
2022__q1__debt_domestic_debt_issuances_or_borrowings,2022,Q1,1,2022__q1,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,52629.0,52629.0,52629.0,52629.0,52629.0,,1,1,1,1,1,52629.0,,,,,,,,,,52629.0,,52629.0,,-1.2763446321522667,1.2763446321522667,0.2590132164211344,2.2276069481913927,1,0,0,1,0
2022__q3__debt_domestic_debt_issuances_or_borrowings,2022,Q3,3,2022__q3,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,93228.0,93228.0,93228.0,93228.0,93228.0,,1,1,1,1,1,93228.0,52629.0,,,40599.0,,,0.7714187995211765,,,72928.5,28707.828209392643,72928.5,28707.828209392643,0.1893742299148533,0.1893742299148533,0.5204884083271036,1.2486039165822043,1,0,0,1,0
2022__q4__debt_domestic_debt_issuances_or_borrowings,2022,Q4,4,2022__q4,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,106650.0,106650.0,106650.0,106650.0,106650.0,,1,1,1,1,1,106650.0,93228.0,52629.0,,13422.0,54021.0,,0.14396962286008494,1.0264492960155047,,99939.0,9490.78721708584,84169.0,28126.78831647865,0.6739398243054758,0.6739398243054758,0.6069319174224488,0.4133328416286509,1,0,0,1,0
2022__end_year_annual__debt_domestic_debt_issuances_or_borrowings,2022,End-Year/Annual,5,2022__end_year_annual,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,83008.0,83008.0,83008.0,83008.0,83008.0,,1,1,1,1,1,83008.0,106650.0,93228.0,,-23642.0,-10220.0,,-0.2216783872480075,-0.10962371819625005,,94829.0,16717.418520812356,83878.75,22972.76200742958,-0.17959167491841757,0.17959167491841757,0.45466716984145117,1.6815756604787055,1,0,0,1,0
2023__q1__debt_domestic_debt_issuances_or_borrowings,2023,Q1,1,2023__q1,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,12412.26855091,12412.26855091,12412.26855091,12412.26855091,12412.26855091,,1,1,1,1,1,12412.26855091,83008.0,106650.0,52629.0,-70595.73144909,-94237.73144909,-40216.73144909,-0.8504690083978653,-0.8836167974598219,-0.7641553411444262,47710.134275455,49918.72043047596,73824.5671377275,42070.607737820035,-2.7282627053959216,2.7282627053959216,0.0,0.011130504524981955,1,0,0,1,0
2023__q2__debt_domestic_debt_issuances_or_borrowings,2023,Q2,2,2023__q2,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,22597.0,22597.0,22597.0,22597.0,22597.0,,1,1,1,1,1,22597.0,12412.26855091,83008.0,93228.0,10184.73144909,-60411.0,-70631.0,0.8205374712379481,-0.7277732266769468,-0.7576157377611876,17504.634275455,7201.692672215433,56166.8171377275,45863.54396121983,-2.3605700777445158,2.3605700777445158,0.06559409370086869,-0.07978455005058914,1,0,0,1,0
2023__q3__debt_domestic_debt_issuances_or_borrowings,2023,Q3,3,2023__q3,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,69284.0,69284.0,138568.0,69284.0,69284.0,0.0,2,2,1,1,1,69284.0,22597.0,12412.26855091,106650.0,46687.0,56871.73144909,-37366.0,2.066070717351861,4.581896630404478,-0.3503609939052977,45940.5,33012.69429325635,46825.3171377275,34568.04034260973,-0.6750601756945243,0.6750601756945243,0.36627864958928924,0.45814886190672094,1,0,0,1,0
2023__q4__debt_domestic_debt_issuances_or_borrowings,2023,Q4,4,2023__q4,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,87982.51632691,87982.51632691,87982.51632691,87982.51632691,87982.51632691,,1,1,1,1,1,87982.51632691,69284.0,22597.0,83008.0,18698.51632691,65385.51632691,4974.516326910001,0.2698821708750938,2.8935485386073374,0.05992815544176466,78633.258163455,13221.847692885436,48068.946219455,36347.3533754498,0.0,0.0,0.4867052153898186,0.2380294930267653,1,0,0,1,0
2023__end_year_annual__debt_domestic_debt_issuances_or_borrowings,2023,End-Year/Annual,5,2023__end_year_annual,Debt,domestic_debt,debt_domestic_debt_issuances_or_borrowings,unspecified,87982.51632691,87982.51632691,87982.51632691,87982.51632691,87982.51632691,,1,1,1,1,1,87982.51632691,87982.51632691,69284.0,12412.26855091,0.0,18698.51632691,75570.247776,0.0,0.2698821708750938,6.08835101061841,87982.51632691,0.0,66961.508163455,30861.89193451025,0.0,0.0,0.4867052153898186,0.17169140860435142,1,0,0,1,0
