source_file,source_relative_path,sheet_name,source_sha256,file_year_guess,file_period_guess,year,period,row_number_in_cleaned_table,label,category,value_column,value,raw_value,unit,label_columns_used,normalized_indicator,period_order
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q1,6,إجمالي التمويل | Total Financing,Other,Q1 2022,0.0,0,unspecified,البيان | Item,other,1
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q1,5,تمويل من الدين الخارجي | Financing from External Borrowing,Other,Q1 2022,0.0,0,unspecified,البيان | Item,other,1
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q1,4,تمويل من الدين الداخلي | Financing from Domestic Borrowing,Other,Q1 2022,0.0,0,unspecified,البيان | Item,other,1
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q1,3,من الاحتياطيات الحكومية | Government Reserves,Other,Q1 2022,0.0,0,unspecified,البيان | Item,other,1
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q1,2,من الحساب الجاري | Current Account,Other,Q1 2022,0.0,0,unspecified,البيان | Item,other,1
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q1,0,فائض/(عجز) الفترة | Surplus/(Deficit),Surplus/Deficit,Q1 2022,57491.0,57491,unspecified,البيان | Item,surplus_deficit,1
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q2,26,Unlabeled row,Expenditure,Q2,2021.0,2021,unspecified,المصروفات* | Column_7,total_expenditure,2
2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,MoF_Web_Crawl\2022__f8ab4c97b2__Quarterly_Budget_Performance_Report_Q4_2022.xlsx,Expenditures,88426432ee24926c79d72d31cca91bdf1db43b18e1033104f13838c415335b68,2022,,2022,Q2,0,Unlabeled row,Expenditure,Q2,2022.0,2022,unspecified,المصروفات* | Expenditures*,total_expenditure,2
2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,MoF_Web_Crawl\2022__9395abcacb__Quarterly_Budget_Performance_Report_Q3_2022.xlsx,Expenditures,b4d12a74e619cb2343f16a110f3a56af86aa312d38f8c147590071cf711c0de3,2022,,2022,Q2,25,المصروفات*,Expenditure,Q2,3.0,Until Q3 2021,unspecified,المصروفات* | Column_7,total_expenditure,2
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q2,6,إجمالي التمويل | Total Financing,Other,Q2 2022,0.0,0,unspecified,البيان | Item,other,2
2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,MoF_Web_Crawl\2022__End-Year_Annual__09d150a7c6__Quarterly_Budget__Performance_Report_Q2_2022_final.xlsx,Financing,1009f9c5735a10ea7e9980ae2e84a1155d86cfb9dcfdb1924bb7fd0f83801d1c,2022,End-Year/Annual,2022,Q2,5,تمويل من الدين الخارجي | Financing from External Borrowing,Other,Q2 2022,0.0,0,unspecified,البيان | Item,other,2
