year,period,period_order,category,normalized_indicator,n_records,n_labels,n_source_files,n_source_sheets,value_mean,value_median,value_std,value_min,value_max
2024,Q1,1,Expenditure,total_expenditure,74,43,3,1,65864.2965959829,10069.06699242,140237.48358320654,-0.0699967884700731,898257.1652199326
2024,Q1,1,Non-oil revenue,non_oil_revenue,6,2,2,1,179371.32914992,126067.70470465395,99363.0350847545,111511.754451187,348955.23853846296
2024,Q1,1,Oil revenue,oil_revenue,6,2,2,1,270683.4346244183,197455.687334156,144833.30162645775,147005.524443637,505350.724649624
2024,Q1,1,Revenue,total_revenue,41,15,2,1,92209.98920842804,24506.52012768,177345.77200126057,1.0,854305.963188087
2024,Q1,1,Surplus/Deficit,surplus_deficit,5,4,2,1,0.0795587047967274,0.0,12386.900551698845,-12386.801103238016,12387.0
2024,Q2,2,Debt,domestic_debt,3,3,1,1,284134.593924,103999.390886,343550.89336358645,68112.833,680291.557886
2024,Q2,2,Debt,external_debt,1,1,1,1,468918.25,468918.25,,468918.25,468918.25
2024,Q2,2,Expenditure,total_expenditure,211,47,3,1,81485.50019507937,10783.586373380002,186119.0401578644,-0.4950981681269988,1293236.0918411925
2024,Q2,2,Non-oil revenue,non_oil_revenue,12,3,3,1,175143.63401802556,140602.063598188,135502.4399745231,0.0408568331928369,457727.83454694
2024,Q2,2,Oil revenue,oil_revenue,12,3,3,1,279365.2047274712,212989.76535168703,218935.92010610833,0.1020417587323779,754561.766128312
2024,Q2,2,Other,other,2,1,1,1,247665.98988277302,247665.98988277302,206831.94856492127,101413.71648648998,393918.26327905606
2024,Q2,2,Revenue,total_revenue,80,22,3,1,94549.17037280755,23246.31280102,206155.28282542815,-0.2295956846864508,1212289.600675252
2024,Q2,2,Surplus/Deficit,surplus_deficit,7,4,2,1,6152.560683296004,15341.0,21398.72882322528,-27727.438160083024,27727.0
2024,Q3,3,Debt,domestic_debt,5,5,1,1,514716.4,644405.0,414452.4012408421,72932.0,1050282.0
2024,Q3,3,Debt,external_debt,4,4,1,1,236844.0625,236844.125,234421.91920662118,4770.0,468918.0
2024,Q3,3,Debt,public_debt,2,1,1,1,1734.5,1734.5,409.414826307011,1445.0,2024.0
2024,Q3,3,Expenditure,total_expenditure,111,32,2,1,123161.84981236976,28744.39745569,244476.68554359113,-0.3993284301598822,1293236.091841193
2024,Q3,3,Non-oil revenue,non_oil_revenue,7,2,2,1,177375.35087046187,118342.177651155,189261.27000046638,0.06,502471.489871712
2024,Q3,3,Oil revenue,oil_revenue,7,2,2,1,270711.49504430505,190866.05824755004,290020.1819737707,0.16,756623.945227635
2024,Q3,3,Other,other,2,1,1,1,233377.0,233377.0,221610.09365098874,76675.0,390079.0
2024,Q3,3,Revenue,total_revenue,45,16,2,1,97384.1708574125,6166.489654069999,239860.24895423156,-0.2674975709162637,1259095.4350993468
2024,Q3,3,Surplus/Deficit,surplus_deficit,8,4,1,1,11024.5751393334,15117.5,41142.5453766838,-57962.418522707885,57962.0
2024,Q4,4,Debt,domestic_debt,6,6,1,1,445742.50250582496,406043.15833365,425398.03143640957,0.0,1050282.38170035
2024,Q4,4,Debt,external_debt,5,5,1,1,193225.04632638,77185.24999966999,230330.3869297724,0.0,477666.01195747
2024,Q4,4,Expenditure,total_expenditure,68,31,1,1,142565.8248035007,37560.235983275,295276.30536457716,-0.4323120351071656,1374720.24877316
2024,Q4,4,Non-oil revenue,non_oil_revenue,4,2,1,1,158621.82386948835,66007.85392729109,237530.45896227192,0.0977516592781808,502471.489871712
2024,Q4,4,Oil revenue,oil_revenue,4,2,1,1,231867.53645547185,85423.25752236138,358988.44336705725,-0.3144504701795751,756623.9452276349
2024,Q4,4,Other,other,2,1,1,1,216526.3710033331,216526.3710033331,245379.19474457423,43017.07843735023,390035.663569316
2024,Q4,4,Revenue,total_revenue,25,13,1,1,87938.7625585321,2024.0,257574.44395829644,-0.3852660336560648,1259095.4350993468
2024,Q4,4,Surplus/Deficit,surplus_deficit,6,3,1,1,28881.131862513634,57662.0,94949.90723924566,-115624.81367381311,115625.0
2024,End-Year/Annual,5,Expenditure,total_expenditure,2,1,2,1,1312860.0,1312860.0,87483.25096839966,1251000.0,1374720.0
2024,End-Year/Annual,5,Revenue,total_revenue,2,1,2,1,1215547.5,1215547.5,61585.46510744236,1172000.0,1259095.0
2024,End-Year/Annual,5,Surplus/Deficit,surplus_deficit,2,1,2,1,-97312.5,-97312.5,25897.7858609573,-115625.0,-79000.0
