url,source_page,link_text,local_path,file_name,extension,year_guess,period_guess,file_type_guess,size_bytes,sha256,download_status
https://www.mof.gov.sa/en/financialreport/2024/Documents/infoE%20Q3-2024%20F.pdf,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__942e3588c8__infoE_Q3-2024_F.pdf,2024__942e3588c8__infoE_Q3-2024_F.pdf,.pdf,2024.0,,other_financial_file,814461,1af1bd9e4347ac69bd50e96ff74e7f8720ee193eb812320f45c6fa847af5fb03,downloaded
https://www.mof.gov.sa/en/financialreport/2024/Documents/Q4E%202024-%20Final%20En.pdf,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__End-Year_Annual__5532e49c7a__Q4E_2024-_Final_En.pdf,2024__End-Year_Annual__5532e49c7a__Q4E_2024-_Final_En.pdf,.pdf,2024.0,End-Year/Annual,other_financial_file,1054733,b3c43e616ccd800c0a795d2a4f44e663b0bdb72af98f349eff1ca55bff7aa778,downloaded
https://www.mof.gov.sa/en/financialreport/2024/Documents/Quarterly%20Budget%20Performance%20Report_Q4_2024.xlsx,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,2024__d9033a1e15__Quarterly_Budget_Performance_Report_Q4_2024.xlsx,.xlsx,2024.0,,other_financial_file,339903,0015bfb0c89645cb1c7bf04b826ac1cefbfa36089d2f0b644c3c6cd19a4ff651,downloaded
https://www.mof.gov.sa/en/financialreport/2024/Documents/infoE%20Q4-2024%20Final.pdf,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__End-Year_Annual__c45b1b993f__infoE_Q4-2024_Final.pdf,2024__End-Year_Annual__c45b1b993f__infoE_Q4-2024_Final.pdf,.pdf,2024.0,End-Year/Annual,other_financial_file,1345726,b40a2ab0f8e15cf3bb6eecb0148627de6f9ff0edb0ee4ee9c55ceedca52f12a7,downloaded
https://www.mof.gov.sa/en/financialreport/2024/Documents/END-Bud%202024%20Eng%20290625%20FINAL.pdf,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2024__End-Year_Annual__271e72f091__END-Bud_2024_Eng_290625_FINAL.pdf,2024__End-Year_Annual__271e72f091__END-Bud_2024_Eng_290625_FINAL.pdf,.pdf,2024.0,End-Year/Annual,other_financial_file,3674938,69095083ec2b19acf9ab70cefeb9048dccc56126ba2470b853c968049ce864c8,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Q1E%202023.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__0586a660ef__Q1E_2023.pdf,2023__0586a660ef__Q1E_2023.pdf,.pdf,2023.0,,other_financial_file,1394967,383e80b7492a77ffdd308a62b81590d54cb79e6af6fedf772b1ad06a3d742e81,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Quarterly%20Budget%20Performance%20Report_Q1_2023.xlsx,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,2023__2447c0413f__Quarterly_Budget_Performance_Report_Q1_2023.xlsx,.xlsx,2023.0,,other_financial_file,221859,ca3b02390734746828aafdb87b9144ca2240fdddf506d0c5faecb2aa760f933b,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/infoE%20Q1-2023.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__7fe52a02ba__infoE_Q1-2023.pdf,2023__7fe52a02ba__infoE_Q1-2023.pdf,.pdf,2023.0,,other_financial_file,505659,2df3d8e3e3090d8b618c5f069174a536050f6841a7656621c302f312ec4cd4a0,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Q2E%202023%20F.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__a32aa7192c__Q2E_2023_F.pdf,2023__a32aa7192c__Q2E_2023_F.pdf,.pdf,2023.0,,other_financial_file,5796099,b5a7b17b4d4b3086c419709f46c56aa74658f6c03e8bbb71759c3e24d30feeba,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Quarterly_Budget%20_Performance_Report_Q2_2023.xlsx,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,2023__82b22e496b__Quarterly_Budget__Performance_Report_Q2_2023.xlsx,.xlsx,2023.0,,other_financial_file,532571,7c7fabbf99f4c212109ac6f80e12080de330555adbd4c6797f26a9dccae16baa,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/infoE%20Q2-2023F.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__42c405f32a__infoE_Q2-2023F.pdf,2023__42c405f32a__infoE_Q2-2023F.pdf,.pdf,2023.0,,other_financial_file,1307865,c0223334b038b6d4ac2269c3365da2fc53614b50f0e9c73081554047582b034f,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Mid-Bud-E%202023%20F.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__02e4cfad2a__Mid-Bud-E_2023_F.pdf,2023__02e4cfad2a__Mid-Bud-E_2023_F.pdf,.pdf,2023.0,,other_financial_file,1575326,71d9615d3867ebf0e13070c78f22395e050e5f5daea95b144f1fd288e1d5a862,downloaded
https://www.mof.gov.sa/en/financialreport/2023/Documents/Q3E%202023.pdf,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,,E:\47\471\New Papers\Transforming AI-Driven Solutions\Codes\Data\MoF_Web_Crawl\2023__e550336ebc__Q3E_2023.pdf,2023__e550336ebc__Q3E_2023.pdf,.pdf,2023.0,,other_financial_file,1997764,055743e5e27b4af7532a7ebbc17fcd8775b05dc054a9670fd61cd64739145199,downloaded
